vacc_doseb_name,xvar,xlbl,est,ci_low,ci_high
NA,Age,25-29,1.00,1.00,1.00
NA,Age,18-24,0.83,0.79,0.89
NA,Age,30-34,1.00,0.95,1.06
NA,Age,35-39,0.97,0.90,1.04
NA,Age,40-49,0.79,0.71,0.87
NA,Ethnicity,White,1.00,1.00,1.00
NA,Ethnicity,Male,0.91,0.81,1.03
NA,Ethnicity,Asian,1.19,1.11,1.28
NA,Ethnicity,Black,0.69,0.63,0.76
NA,Ethnicity,Other,0.82,0.72,0.94
NA,BMI,18.5-24.9,1.00,1.00,1.00
NA,BMI,<18.5,0.82,0.74,0.92
NA,BMI,25.0-29.9,1.04,0.98,1.10
NA,BMI,30.0-39.9,1.13,1.06,1.19
NA,BMI,40.0+,1.30,1.17,1.44
NA,No. QCovid comorbidities,rsk 0,1.00,1.00,1.00
NA,No. QCovid comorbidities,rsk 1,1.20,1.14,1.27
NA,No. QCovid comorbidities,rsk 2,1.33,1.18,1.50
NA,No. QCovid comorbidities,rsk 3,1.91,1.45,2.51
NA,No. QCovid comorbidities,rsk 4+,1.16,0.65,2.07
NA,Urban/rural,Urban,1.00,1.00,1.00
NA,Urban/rural,Rural,1.09,0.98,1.21
NA,Number of household members,2,1.00,1.00,1.00
NA,Number of household members,hh 1,0.78,0.74,0.82
NA,Number of household members,hh 3,0.75,0.70,0.81
NA,Number of household members,hh 4,0.72,0.65,0.79
NA,Number of household members,hh 5,0.66,0.59,0.74
NA,Number of household members,hh 6-10,0.57,0.51,0.65
NA,Number of household members,hh 7+,0.46,0.32,0.65
