"xvar","xlbl","xlbl_cd","wimd_q","vacc","model_type","est","or","or_low","or_high","se","stat","p"
"age_cat","18-50","18-50","1on5","c19","adj",-0.0346920125234871,0.9659028564346,0.865861794229756,1.07750259254534,0.0557856993563973,-0.621880032404914,0.534020755734316
"age_cat","50-65","50-65","1on5","c19","adj",-0.0833691064982571,0.920011502317434,0.830654782450435,1.01898066715445,0.0521294722731023,-1.59927010312886,0.109760599510718
"age_cat","65-80","65-80","1on5","c19","adj",-0.0340800532276719,0.966494130565848,0.869109639133505,1.07479063901481,0.054187700525679,-0.628925990530301,0.529397509708571
"gndr_cd","Male","1","1on5","c19","adj",0.162444983458328,1.17638359611117,1.13079553305177,1.22380954359155,0.0201654658940074,8.05560279698778,7.90880693674697e-16
"ethn_cat","Asian","a","1on5","c19","adj",0.58775307737557,1.79993954346751,1.60115647859745,2.02340146228303,0.0597087043552859,9.84367495027611,7.29947111830301e-23
"ethn_cat","Black","b","1on5","c19","adj",0.329780903878458,1.39066340612461,1.09870059745909,1.76021084689189,0.120233177357043,2.74284445547958,0.0060909529848149
"ethn_cat","Mixed","m","1on5","c19","adj",0.0612280354913912,1.06314132050096,0.877074772608725,1.28868085442101,0.0981605109697142,0.623754245842119,0.532788992046808
"ethn_cat","Other","o","1on5","c19","adj",0.549559631198452,1.73248991534874,1.42483751845625,2.10657093732141,0.0997476727413957,5.50949827795213,3.59857915101023e-08
"ethn_cat","(Missing)","missing","1on5","c19","adj",0.46574081472509,1.59319401340251,1.44217015525692,1.76003306897542,0.0508130680587005,9.16576842372626,4.91952135595274e-20
"bmi_cat","<18.5","<18.5","1on5","c19","adj",0.080194326982285,1.08349760003716,0.955724762069152,1.2283526553656,0.0640214009752327,1.25261749603557,0.21034494443075
"bmi_cat","25-29.9","25-29.9","1on5","c19","adj",0.0346355951758807,1.03524239273386,0.984919221490901,1.08813676119653,0.0254245717679316,1.36228824194267,0.173106936876758
"bmi_cat","30-39.9","30-39.9","1on5","c19","adj",0.0817004551046253,1.08513071577512,1.03023291458515,1.14295384436711,0.0264880110915663,3.08443147438271,0.00203941585341614
"bmi_cat","40+","40+","1on5","c19","adj",0.0531026984798104,1.05453793900169,0.957225530506602,1.16174321448091,0.0493983310284611,1.07498972888811,0.282379326861476
"urban_rural_class","Rural","r","1on5","c19","adj",0.0249231530482256,1.02523633121021,0.972098724911328,1.08127858611196,0.0271541029879504,0.917841147589567,0.358702036557107
"hh_cat","Alone","1","1on5","c19","adj",0.145318318649347,1.15640761779771,1.08399850316235,1.23365352867123,0.0329913187127042,4.40474416663402,1.05908791971784e-05
"hh_cat","3 members","3","1on5","c19","adj",0.100918076564941,1.10618601549306,1.04325400510386,1.17291426142247,0.0298849353766092,3.37688789663335,0.000733109222066779
"hh_cat","4 members","4","1on5","c19","adj",0.0306109556891534,1.03108428836988,0.968811633151413,1.09735966553683,0.0317842752220345,0.963084905202817,0.335504916265013
"hh_cat","5 members","5","1on5","c19","adj",0.135514744550686,1.14512608007949,1.0600396374704,1.23704217552415,0.0393927867526406,3.44009032419119,0.000581520078738967
"hh_cat","6-10 members","6-10","1on5","c19","adj",0.28384180165618,1.32822279148555,1.22364226028077,1.44174146405902,0.0418425705496996,6.78356510910437,1.17245916866972e-11
"hh_cat","11+ members","11+","1on5","c19","adj",0.0592871189074799,1.06107985309625,0.866489328556517,1.29937024905129,0.103365473029207,0.573567915572039,0.566260228440042
"num_clinical_conditions_cat","1 condition","1","1on5","c19","adj",-0.0372684625575931,0.963417459113062,0.912657546359344,1.01700052141838,0.027615860675634,-1.34953108995353,0.177166441193429
"num_clinical_conditions_cat","2 conditions","2","1on5","c19","adj",-0.155897093920275,0.855647237143469,0.77147856337698,0.948998752767026,0.0528322459513231,-2.95079437023955,0.00316957853944435
"num_clinical_conditions_cat","3 conditions","3","1on5","c19","adj",0.219467287393261,1.24541310658016,1.00611646786894,1.54162450926476,0.108863964271987,2.01597736092856,0.0438023431627274
"num_clinical_conditions_cat","4+ conditions","4+","1on5","c19","adj",0.270520426732859,1.31064636868128,0.763417785730665,2.250136079936,0.275755203610549,0.981016579889883,0.326584565489533
