vacc_doseb_name,xvar,xlbl,est,ci_low,ci_high
NA,Sex,Female,1.00,1.00,1.00
NA,Sex,Male,0.84,0.84,0.85
NA,Age,80+,1.00,1.00,1.00
NA,Age,18-49,0.08,0.08,0.08
NA,Age,50-64,0.24,0.23,0.24
NA,Age,65-79,0.88,0.86,0.90
NA,Ethnicity,White,1.00,1.00,1.00
NA,Ethnicity,Male,0.80,0.76,0.84
NA,Ethnicity,Asian,0.91,0.89,0.93
NA,Ethnicity,Black,0.49,0.47,0.51
NA,Ethnicity,Other,0.62,0.58,0.65
NA,SES quintile,imd 5 - Least deprived,1.00,1.00,1.00
NA,BMI,18.5-24.9,1.00,1.00,1.00
NA,BMI,<18.5,0.70,0.67,0.74
NA,BMI,25.0-29.9,1.23,1.22,1.25
NA,BMI,30.0-39.9,1.32,1.30,1.34
NA,BMI,40.0+,1.65,1.61,1.69
NA,No. QCovid comorbidities,rsk 0,1.00,1.00,1.00
NA,No. QCovid comorbidities,rsk 1,2.16,2.13,2.19
NA,No. QCovid comorbidities,rsk 2,3.19,3.13,3.25
NA,No. QCovid comorbidities,rsk 3,3.51,3.41,3.60
NA,No. QCovid comorbidities,rsk 4+,3.65,3.51,3.80
NA,Urban/rural,Urban,1.00,1.00,1.00
NA,Urban/rural,Rural,1.12,1.09,1.14
NA,Number of household members,2,1.00,1.00,1.00
NA,Number of household members,hh 1,0.75,0.74,0.76
NA,Number of household members,hh 3,0.84,0.83,0.86
NA,Number of household members,hh 4,0.72,0.70,0.74
NA,Number of household members,hh 5,0.64,0.62,0.66
NA,Number of household members,hh 6-10,0.57,0.55,0.59
NA,Number of household members,hh 7+,0.84,0.79,0.89
