vacc_doseb_name,xvar,xlbl,est,ci_low,ci_high
NA,Sex,Female,1.00,1.00,1.00
NA,Sex,Male,0.84,0.84,0.85
NA,Age,80+,1.00,1.00,1.00
NA,Age,18-49,0.08,0.08,0.08
NA,Age,50-64,0.24,0.23,0.24
NA,Age,65-79,0.88,0.86,0.91
NA,Ethnicity,White,1.00,1.00,1.00
NA,Ethnicity,Male,0.80,0.76,0.84
NA,Ethnicity,Asian,0.91,0.89,0.93
NA,Ethnicity,Black,0.49,0.47,0.51
NA,Ethnicity,Other,0.62,0.58,0.65
NA,SES quintile,imd 5 - Least deprived,1.00,1.00,1.00
NA,BMI,18.5-24.9,1.00,1.00,1.00
NA,BMI,<18.5,0.70,0.67,0.73
NA,BMI,25.0-29.9,1.24,1.22,1.26
NA,BMI,30.0-39.9,1.32,1.30,1.35
NA,BMI,40.0+,1.67,1.63,1.71
NA,No. QCovid comorbidities,rsk 0,1.00,1.00,1.00
NA,No. QCovid comorbidities,rsk 1,2.18,2.15,2.21
NA,No. QCovid comorbidities,rsk 2,3.21,3.15,3.27
NA,No. QCovid comorbidities,rsk 3,3.53,3.43,3.62
NA,No. QCovid comorbidities,rsk 4+,3.66,3.52,3.81
NA,Urban/rural,Urban,1.00,1.00,1.00
NA,Urban/rural,Rural,1.12,1.10,1.15
NA,Number of household members,2,1.00,1.00,1.00
NA,Number of household members,hh 1,0.75,0.74,0.76
NA,Number of household members,hh 3,0.84,0.83,0.86
NA,Number of household members,hh 4,0.72,0.70,0.74
NA,Number of household members,hh 5,0.64,0.62,0.66
NA,Number of household members,hh 6-10,0.57,0.55,0.59
NA,Number of household members,hh 7+,0.84,0.79,0.89
