vacc_doseb_name,xvar,xlbl,est,ci_low,ci_high
NA,Sex,Female,1.00,1.00,1.00
NA,Sex,Male,0.77,0.76,0.78
NA,Age,80+,1.00,1.00,1.00
NA,Age,18-49,0.13,0.13,0.14
NA,Age,50-64,0.43,0.41,0.44
NA,Age,65-79,0.89,0.86,0.92
NA,Ethnicity,White,1.00,1.00,1.00
NA,Ethnicity,Male,0.49,0.46,0.52
NA,Ethnicity,Asian,0.57,0.55,0.59
NA,Ethnicity,Black,0.26,0.24,0.28
NA,Ethnicity,Other,0.35,0.33,0.38
NA,SES quintile,imd 5 - Least deprived,1.00,1.00,1.00
NA,BMI,18.5-24.9,1.00,1.00,1.00
NA,BMI,<18.5,0.63,0.61,0.67
NA,BMI,25.0-29.9,1.22,1.20,1.25
NA,BMI,30.0-39.9,1.29,1.26,1.32
NA,BMI,40.0+,1.42,1.37,1.48
NA,No. QCovid comorbidities,rsk 0,1.00,1.00,1.00
NA,No. QCovid comorbidities,rsk 1,1.33,1.31,1.36
NA,No. QCovid comorbidities,rsk 2,1.64,1.59,1.69
NA,No. QCovid comorbidities,rsk 3,1.69,1.59,1.79
NA,No. QCovid comorbidities,rsk 4+,1.63,1.49,1.79
NA,Urban/rural,Urban,1.00,1.00,1.00
NA,Urban/rural,Rural,1.07,1.05,1.09
NA,Number of household members,2,1.00,1.00,1.00
NA,Number of household members,hh 1,0.55,0.54,0.56
NA,Number of household members,hh 3,0.72,0.70,0.73
NA,Number of household members,hh 4,0.60,0.59,0.62
NA,Number of household members,hh 5,0.47,0.45,0.49
NA,Number of household members,hh 6-10,0.31,0.30,0.33
NA,Number of household members,hh 7+,0.45,0.40,0.49
