"xvar","xlbl","xlbl_cd","wimd_q","vacc","model_type","est","or","or_low","or_high","se","stat","p"
"age_cat","18-24","18-24","5","c19","adj",-0.38,0.684,0.533,0.877,0.1274,-2.99,0.0028
"age_cat","30-34","30-34","5","c19","adj",0.181,1.199,1.014,1.418,0.0857,2.12,0.0341
"age_cat","35-39","35-39","5","c19","adj",0.364,1.439,1.176,1.762,0.1031,3.53,4e-04
"age_cat","40-49","40-49","5","c19","adj",0.478,1.612,1.065,2.441,0.2116,2.26,0.024
"ethn_cat","Asian","a","5","c19","adj",-0.042,0.959,0.646,1.425,0.2019,-0.21,0.8365
"ethn_cat","Black","b","5","c19","adj",-0.708,0.493,0.194,1.254,0.4766,-1.49,0.1375
"ethn_cat","Mixed","m","5","c19","adj",-0.221,0.802,0.447,1.439,0.2984,-0.74,0.4589
"ethn_cat","Other","o","5","c19","adj",-0.741,0.477,0.25,0.91,0.33,-2.24,0.0248
"ethn_cat","(Missing)","missing","5","c19","adj",-1.615,0.199,0.042,0.944,0.7944,-2.03,0.0421
"bmi_cat","<18.5","<18.5","5","c19","adj",-0.433,0.649,0.432,0.973,0.2069,-2.09,0.0364
"bmi_cat","25-29.9","25-29.9","5","c19","adj",0.001,1.001,0.853,1.175,0.0819,0.01,0.9883
"bmi_cat","30-39.9","30-39.9","5","c19","adj",-0.052,0.95,0.793,1.137,0.0918,-0.56,0.5735
"bmi_cat","40+","40+","5","c19","adj",-0.56,0.571,0.371,0.879,0.2199,-2.55,0.0109
"urban_rural_class","Rural","r","5","c19","adj",0.034,1.035,0.875,1.224,0.0855,0.4,0.6879
"hh_cat","Alone","1","5","c19","adj",-0.125,0.882,0.663,1.173,0.1455,-0.86,0.3893
"hh_cat","3 members","3","5","c19","adj",-0.08,0.923,0.771,1.105,0.0916,-0.87,0.3819
"hh_cat","4 members","4","5","c19","adj",-0.255,0.775,0.63,0.953,0.1056,-2.42,0.0156
"hh_cat","5 members","5","5","c19","adj",-0.153,0.858,0.656,1.121,0.1365,-1.12,0.2611
"hh_cat","6-10 members","6-10","5","c19","adj",-0.214,0.808,0.604,1.08,0.1481,-1.44,0.1491
"hh_cat","11+ members","11+","5","c19","adj",-1.032,0.356,0.089,1.424,0.7069,-1.46,0.1442
"num_clinical_conditions_cat","1 condition","1","5","c19","adj",-0.498,0.608,0.518,0.714,0.0821,-6.06,0
"num_clinical_conditions_cat","2 conditions","2","5","c19","adj",0.282,1.325,0.448,3.919,0.5531,0.51,0.6106
"health_board","Betsi Cadwaladr University Health Board","bc","5","c19","adj",-0.269,0.764,0.601,0.971,0.1222,-2.2,0.0278
"health_board","Cardiff and Vale University Health Board","cv","5","c19","adj",0.06,1.062,0.85,1.326,0.1135,0.53,0.598
"health_board","Cwm Taf Morgannwg University Health Board","ct","5","c19","adj",-0.015,0.985,0.765,1.268,0.1289,-0.11,0.9085
"health_board","Hywel Dda University Health Board","hd","5","c19","adj",-0.091,0.913,0.606,1.376,0.2091,-0.43,0.6648
"health_board","Powys Teaching Health Board","pt","5","c19","adj",0.037,1.038,0.437,2.463,0.441,0.08,0.9334
"health_board","Swansea Bay University Health Board","sb","5","c19","adj",-0.165,0.848,0.661,1.088,0.1271,-1.3,0.1938
"age_cat","18-24","18-24","5","flu","adj",-0.156,0.855,0.67,1.092,0.1247,-1.25,0.2104
"age_cat","30-34","30-34","5","flu","adj",0.138,1.148,0.971,1.357,0.0854,1.62,0.1061
"age_cat","35-39","35-39","5","flu","adj",0.065,1.067,0.873,1.304,0.1023,0.63,0.5267
"age_cat","40-49","40-49","5","flu","adj",0.496,1.642,1.086,2.482,0.2109,2.35,0.0188
"ethn_cat","Asian","a","5","flu","adj",-0.155,0.857,0.576,1.275,0.2029,-0.76,0.4453
"ethn_cat","Black","b","5","flu","adj",-0.566,0.568,0.224,1.437,0.4739,-1.2,0.2321
"ethn_cat","Mixed","m","5","flu","adj",-0.392,0.676,0.374,1.22,0.3013,-1.3,0.1934
"ethn_cat","Other","o","5","flu","adj",-0.056,0.945,0.507,1.761,0.3176,-0.18,0.8591
"ethn_cat","(Missing)","missing","5","flu","adj",-0.797,0.451,0.117,1.729,0.686,-1.16,0.2454
"bmi_cat","<18.5","<18.5","5","flu","adj",-0.562,0.57,0.378,0.86,0.2095,-2.68,0.0073
"bmi_cat","25-29.9","25-29.9","5","flu","adj",-0.114,0.892,0.761,1.046,0.0812,-1.41,0.1596
"bmi_cat","30-39.9","30-39.9","5","flu","adj",-0.01,0.99,0.828,1.184,0.0912,-0.11,0.9123
"bmi_cat","40+","40+","5","flu","adj",-0.094,0.911,0.601,1.38,0.2122,-0.44,0.6593
"urban_rural_class","Rural","r","5","flu","adj",0.131,1.14,0.966,1.346,0.0848,1.55,0.1221
